geo_name,lon,lat,country,census_id,pop_tot,pop_30plus
BOTSWANA_CENTRAL_MAHALAPYE_SELEKA,27.541179586978274,-22.862211127370156,Botswana,0228,1056,426
BOTSWANA_CENTRAL_MAHALAPYE_SHAKWE,27.285868545141952,-23.098563338666022,Botswana,0229,1299,557
BOTSWANA_CENTRAL_MAHALAPYE_SHOSHONG,26.387666419486898,-23.28181618855284,Botswana,0230,11906,4944
BOTSWANA_CENTRAL_MAHALAPYE_TAUPYE,27.086389543341017,-23.181122303718336,Botswana,0231,749,311
BOTSWANA_CENTRAL_MAHALAPYE_TEWANE,26.8808106284804,-22.855065985054686,Botswana,0232,743,345
BOTSWANA_CENTRAL_MAHALAPYE_TULI,27.376483753636418,-23.358300442845334,Botswana,0233,361,248
BOTSWANA_CENTRAL_MAHALAPYE_TUMASERA,27.625135322324592,-22.873322197159712,Botswana,0234,3195,1333
BOTSWANA_CENTRAL_SEROWE PALAPYE_DILORO,27.615763781482226,-22.42069872982587,Botswana,0235,595,265
BOTSWANA_CENTRAL_SEROWE PALAPYE_DIMAJWE,26.75499325012916,-21.701835892951095,Botswana,0236,2042,704
BOTSWANA_CENTRAL_SEROWE PALAPYE_GAMABUO,26.34887363421504,-22.621942368691556,Botswana,0237,1128,474
BOTSWANA_CENTRAL_SEROWE PALAPYE_GOJWANE,27.274583799149916,-21.783314177365938,Botswana,0238,1842,694
BOTSWANA_CENTRAL_SEROWE PALAPYE_GOO-SEKGWENG,27.378852556607093,-22.684458968010347,Botswana,0239,550,225
BOTSWANA_CENTRAL_SEROWE PALAPYE_GOOTAU,27.424470969841263,-22.695172167140004,Botswana,0240,1330,613
BOTSWANA_CENTRAL_SEROWE PALAPYE_KGAGODI,27.50339317555218,-22.29477672423486,Botswana,0241,2041,925
BOTSWANA_CENTRAL_SEROWE PALAPYE_LECHENG,27.185275817151037,-22.673190570584637,Botswana,0242,4023,1674
BOTSWANA_CENTRAL_SEROWE PALAPYE_LERALA,27.844813325817267,-22.74868745754991,Botswana,0243,7629,3064
BOTSWANA_CENTRAL_SEROWE PALAPYE_LESENEPOLE/MATOLWANE,27.57647005773152,-22.540521067100062,Botswana,0244,3665,1570
BOTSWANA_CENTRAL_SEROWE PALAPYE_MABELEAPUDI,26.825166966464483,-22.128040644255414,Botswana,0245,2759,1104
BOTSWANA_CENTRAL_SEROWE PALAPYE_MAJWANAADIPITSE,27.005264767504467,-21.94020945810498,Botswana,0246,911,309
BOTSWANA_CENTRAL_SEROWE PALAPYE_MAJWANENG,27.649493814512812,-22.75586221108769,Botswana,0247,2028,847
BOTSWANA_CENTRAL_SEROWE PALAPYE_MALAKA,27.34590226161426,-22.592437093749382,Botswana,0248,1206,490
BOTSWANA_CENTRAL_SEROWE PALAPYE_MALATSWAI,26.22277867959262,-21.857375536824936,Botswana,0249,2021,561
