Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Lao People's Democratic Republic,48.45212956,54.77316013,58.09442048,64.27735218,76.259917,100.4470803,129.0625009,174.6179112,204.1284108,268.6814506,329.4005451,337.1909036,252.359089,130.4818066,46.63449707,,2391.930005,2588.686957,2274.861175,4863.548132
Latvia,4.315618155,8.221318857,11.79999613,20.21756824,26.14045268,32.5085248,39.29632913,39.44442561,36.04758136,31.31682071,46.3535114,46.24820984,51.07023508,38.34432641,17.45234354,,7.989463971,12.01115285,448.777262,460.7884149
Lebanon,10.41531352,10.2540459,10.0826152,10.95979128,12.39414755,16.50527113,25.41166147,51.83424507,89.16475311,153.9453676,216.5372789,262.394513,240.0664593,119.9587337,36.26464471,,80.80103587,104.4360113,1266.188841,1370.624852
Lesotho,64.70621533,79.1452356,106.6489274,124.3697202,134.2983956,156.8034182,174.4521629,222.046697,213.9653164,171.766663,151.7603999,136.2599049,80.15912718,32.76960786,9.704449205,,708.536439,859.9086597,1858.856241,2718.764901
Liberia,44.24569929,46.84219019,49.97392294,74.49669589,84.70354338,94.66360601,107.3761036,130.3937481,154.7872717,176.8373924,227.6493347,229.6211476,140.3726094,73.45423849,28.52497419,,982.4028808,1175.044884,1663.942478,2838.987362
Libya,17.17532076,25.83748914,33.28307382,39.11570831,43.47120772,39.60994687,45.54342719,62.3373621,71.14504399,94.75530278,122.6566568,122.3875501,132.9541857,75.51404405,47.62527267,,76.97943883,120.9408699,973.411592,1094.352462
Lithuania,4.842818092,8.574606553,12.1326142,20.90428162,32.76795272,40.4490875,58.16067104,54.23821023,56.46393803,49.27687339,70.02213462,78.34154506,83.40322962,58.84452168,16.45608214,,11.97830963,18.75631275,644.8785665,663.6348793
Luxembourg,0.302492285,0.401543139,0.530783455,0.7026086,1.04549151,1.586999234,2.173153031,3.22264629,5.206213206,8.917410152,15.08356629,28.11949562,42.07988803,34.40386887,18.85303222,,0.492945223,0.975680629,162.6291919,163.6048725
Madagascar,370.9440911,349.8578579,400.0032222,505.91641,564.3374548,679.9698735,803.4159561,926.5041584,934.5310202,946.6020218,927.0935742,796.5404963,525.0737788,230.9202304,78.15312015,,8637.89745,10282.82254,9039.863266,19322.68581
Malawi,170.890329,171.4938523,182.9274769,220.2560234,251.0754807,279.2598128,354.4029128,530.7058265,653.5604967,770.2442405,775.7549803,660.5657607,422.6616855,227.213703,97.22777681,,6089.980964,6901.020827,5768.240358,12669.26119
Malaysia,188.0509987,326.1951349,396.7999406,473.5367697,663.651478,1034.592127,1526.017164,2274.93548,2785.363706,3838.032921,3949.333795,3789.933848,2464.859932,1584.129921,383.9866085,,299.4782063,654.5286533,25679.41983,26333.94848
